license,commits,forkCounts,issues,stargazerCounts,watchers,numberOfRepos
,37914,974015,79652,3988444,234292,7490
Academic Free License v3.0,10,245,15,974,72,2
Apache License 2.0,101192,1475237,208600,6916689,359244,3921
Artistic License 2.0,14,1274,64,7089,465,14
Boost Software License 1.0,1115,8317,1394,39984,2444,49
"BSD 2-Clause ""Simplified"" License",7794,91029,13326,569547,21127,405
"BSD 3-Clause ""New"" or ""Revised"" License",15768,281325,41498,1540497,66459,917
BSD 3-Clause Clear License,4,72,56,85,35,2
BSD Zero Clause License,9,107,15,404,44,4
Creative Commons Attribution 4.0 International,38,10092,281,72004,3365,33
Creative Commons Attribution Share Alike 4.0 International,155,21124,299,142649,6304,29
Creative Commons Zero v1.0 Universal,647,81284,1677,649949,30711,163
Do What The F*ck You Want To Public License,336,17971,679,100743,4765,65
Eclipse Public License 1.0,935,8372,2489,95773,4401,136
Eclipse Public License 2.0,329,2136,2698,10206,619,15
European Union Public License 1.1,0,87,4,369,51,2
European Union Public License 1.2,25,82,70,247,46,6
GNU Affero General Public License v3.0,4388,46704,19198,315071,13052,232
GNU General Public License v2.0,13533,66794,18001,363927,21464,512
GNU General Public License v3.0,29230,227523,46578,1325288,63208,1480
GNU Lesser General Public License v2.1,5808,49216,11636,160821,8917,102
GNU Lesser General Public License v3.0,4984,25269,7600,153689,7479,198
ISC License,1593,16675,2918,137820,5415,283
Microsoft Public License,184,3713,872,12024,1082,18
Microsoft Reciprocal License,2,105,64,673,32,2
MIT License,187174,3458449,408108,23035782,797924,18518
Mozilla Public License 2.0,19651,40840,18689,222872,10699,202
Open Software License 3.0,35,953,466,3864,421,22
Other,267845,1860596,319424,9780687,455458,4873
PostgreSQL License,318,1288,361,7055,476,9
SIL Open Font License 1.1,73,6084,1353,116805,2817,19
The Unlicense,2850,21936,7190,246430,8394,192
Universal Permissive License v1.0,2,161,62,949,55,1
zlib License,733,11320,2092,63682,3303,70
